Otus Capital Management Limited,G5 Entertainment AB (publ),SE0001824004,"1,05",11/24/2020
Sculptor Capital Management Europe Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,75",11/20/2020
Point72 Asset Management LP,Oncopeptides AB,SE0009414576,"0,72",11/20/2020
Marshall Wace LLP,Skanska AB,SE0000113250,"0,59",11/19/2020
Pelham Capital Ltd,ICA Gruppen Aktiebolag,SE0000652216,"1,25",11/10/2020
BlackRock Investment Management (UK) Limited,Elekta AB (publ),SE0000163628,"0,63",10/29/2020
Elementa Management AB,MIPS AB,SE0009216278,"0,5",10/29/2020
Pelham Capital Ltd,Intrum AB,SE0000936478,"2,72",10/29/2020
Point72 Asset Management LP,SAAB Aktiebolag,SE0000112385,"0,73",10/22/2020
Arrowstreet Capital Limited Partnership,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,14",10/20/2020
Parvus Asset Management Europe Limited,SECTRA Aktiebolag,SE0014609061,"0,58",10/14/2020
Arrowstreet Capital Limited Partnership,Dometic Group AB (publ),SE0007691613,"0,69",10/6/2020
Sylebra Capital Limited,Fingerprint Cards AB,SE0008374250,"1,9",10/2/2020
Citadel Europe LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,86",9/16/2020
Marshall Wace Asia Ltd,JM AB,SE0000806994,"0,71",9/1/2020
Connor Clark & Lunn Investment Management Ltd.,Mekonomen Aktiebolag,SE0002110064,"0,69",8/31/2020
Cerza Plegar AB,ALM EQUITY AB,SE0004109627,"1,73",7/10/2020
JPMorgan Asset Management (UK) Ltd,RaySearch Laboratories AB (publ),SE0000135485,"1,65",6/30/2020
"Public Equity Partners Management, L.P.",Elekta AB (publ),SE0000163628,"0,84",5/18/2020
Marshall Wace LLP,Millicom International Cellular SA SDR,SE0001174970,"0,6",4/15/2020
Marshall Wace Asia Ltd,Peab AB,SE0000106205,"0,7",3/9/2020
COWEN INVESTMENT MANAGEMENT LLC,INTERNATIONAL PETROLEUM CORPORATION,CA46016U1084,"0,66",12/12/2018
Pelham Long Short Master Fund Ltd,Axfood AB,SE0006993770,"1,84",3/21/2017
